timestamp,lj_valve_state,lj_pump_state,temp0,temp1
2026-03-15T12:22:33.907220,0,0,21.69,28.0
2026-03-15T12:22:36.462300,0,0,21.75,28.0
2026-03-15T12:22:39.153256,0,0,21.75,28.0
2026-03-15T12:22:41.699288,0,0,21.75,28.0
2026-03-15T12:22:44.722173,0,0,21.75,28.0
2026-03-15T12:22:47.634895,0,0,21.75,28.0
2026-03-15T12:22:50.182122,0,0,21.75,28.0
2026-03-15T12:22:53.292016,0,0,21.69,28.0
2026-03-15T12:22:56.173039,0,0,21.75,28.0
2026-03-15T12:22:58.721062,0,0,21.69,28.0
2026-03-15T12:23:01.411958,0,0,21.75,28.0
2026-03-15T12:23:03.962869,0,0,21.75,28.0
2026-03-15T12:23:06.521978,0,0,21.75,28.0
2026-03-15T12:23:09.648856,0,0,21.69,28.0
2026-03-15T12:23:12.462822,0,0,21.69,28.0
2026-03-15T12:23:15.183766,0,0,21.69,28.0
2026-03-15T12:23:17.743726,0,0,21.75,28.0
2026-03-15T12:23:20.303670,0,0,21.75,28.0
2026-03-15T12:23:22.863915,0,0,21.69,28.0
2026-03-15T12:23:25.543627,0,0,21.69,27.87
2026-03-15T12:23:28.103531,0,0,21.69,28.0
2026-03-15T12:23:30.663560,0,0,21.69,28.0
2026-03-15T12:23:33.223525,0,0,21.69,28.0
2026-03-15T12:23:36.303556,0,0,21.69,28.0
2026-03-15T12:23:38.923463,0,0,21.69,28.0
2026-03-15T12:23:41.512391,0,0,21.69,28.0
2026-03-15T12:23:44.063415,0,0,21.62,28.0
2026-03-15T12:23:46.634357,0,0,21.69,27.87
2026-03-15T12:23:49.203267,0,0,21.62,27.87
2026-03-15T12:23:51.784287,0,0,21.69,27.87
2026-03-15T12:23:54.494462,0,0,21.69,27.87
2026-03-15T12:23:57.044168,0,0,21.69,28.0
2026-03-15T12:23:59.603224,0,0,21.69,28.0
2026-03-15T12:24:02.293165,0,0,21.69,27.87
2026-03-15T12:24:05.314153,0,0,21.62,27.87
2026-03-15T12:24:07.884063,0,0,21.62,28.0
2026-03-15T12:24:11.034046,0,0,21.62,28.0
2026-03-15T12:24:13.583991,0,0,21.62,28.0
2026-03-15T12:24:16.154007,0,0,21.62,27.87
2026-03-15T12:24:18.704017,0,0,21.62,27.87
2026-03-15T12:24:21.479574,0,0,21.62,27.87
2026-03-15T12:24:23.853206,0,0,21.62,27.87
2026-03-15T12:24:26.434158,0,0,21.62,27.87
2026-03-15T12:24:28.985126,0,0,21.62,27.87
2026-03-15T12:24:31.565220,0,0,21.62,27.87
2026-03-15T12:24:34.155038,0,0,21.62,27.87
2026-03-15T12:24:36.705057,0,0,21.62,27.87
2026-03-15T12:24:39.285112,0,0,21.62,27.87
2026-03-15T12:24:41.854937,0,0,21.56,27.87
